Viewpoint,Type,Elements,Packages,Diagrams,Connectors
AV-1,Overview & Summary,8,1,1,3
AV-2,Integrated Dictionary,8,1,0,0
CV-1,Vision,3,1,0,0
CV-2,Capability Taxonomy,5,1,0,0
OV-1,High-Level Operational Concept,7,1,1,6
OV-2,Operational Resource Flow,12,1,1,7
OV-4,Organizational Relationships,8,1,1,4
OV-5b,Operational Activity Model,7,1,1,6
SV-1,Systems Interface,14,1,1,11
SV-4,Systems Functionality,15,1,1,8
SV-7,Systems Measures,10,1,1,5
DIV-1,Conceptual Data Model,8,1,1,4
DIV-2,Logical Data Model,6,1,1,3
StdV-1,Standards Profile,4,1,0,0
PV-1,Project Portfolio,3,1,0,0
Total,All Viewpoints,118,15,10,57